"","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018"
"Total.population",4568,4429,4773,6078,6797,6661,7088,7524,8077,8534
"Male",2760,2610,2837,3490,3905,3848,4259,4425,4714,5120
"Female",1808,1819,1936,2588,2892,2813,2829,3099,3363,3414
"Median.age..years.",39,35.1,32.6,32,31.3,32.1,32.1,31,31.2,31.7
"age.under24",751,814,876,1285,1255,1152,1416,1655,1761,2015
"age.25.44",1920,2098,2373,3150,3900,3724,3832,4025,4281,4268
"age.45.64",1607,1235,1174,1283,1251,1426,1548,1593,1638,1805
"age.over.65",290,282,350,360,391,359,292,251,397,446
